iteration,proposal,fitness,cycle_time
2,"[[35, 44], [42, 15], [50, 93], [22, 8], [29, 22], [18, 74], [41, 64], [36, 26], [41, 21], [52, 13]]",2.416539975283036,11.824958801269531
2,"[[35, 44], [42, 15], [50, 93], [22, 8], [29, 22], [18, 74], [31, 54], [36, 26], [41, 21], [52, 13]]",2.3930339759416213,11.824959516525269
2,"[[35, 44], [42, 15], [50, 93], [22, 8], [29, 22], [18, 74], [31, 74], [36, 26], [41, 21], [52, 13]]",2.363653693090005,11.824959754943848
2,"[[35, 44], [42, 15], [50, 93], [22, 8], [29, 22], [18, 74], [31, 64], [26, 26], [41, 21], [52, 13]]",2.495972653008419,11.824960231781006
2,"[[35, 44], [42, 15], [50, 93], [22, 8], [29, 22], [18, 74], [31, 64], [46, 26], [41, 21], [52, 13]]",2.3464113506421436,11.824960708618164
2,"[[35, 44], [42, 15], [50, 93], [22, 8], [29, 22], [18, 74], [31, 64], [36, 16], [41, 21], [52, 13]]",2.3357337325723284,11.824961185455322
2,"[[35, 44], [42, 15], [50, 93], [22, 8], [29, 22], [18, 74], [31, 64], [36, 36], [41, 21], [52, 13]]",2.4278748563356283,11.824961423873901
2,"[[35, 44], [42, 15], [50, 93], [22, 8], [29, 22], [18, 74], [31, 64], [36, 26], [31, 21], [52, 13]]",2.439620135514634,11.824964761734009
2,"[[35, 44], [42, 15], [50, 93], [22, 8], [29, 22], [18, 74], [31, 64], [36, 26], [51, 21], [52, 13]]",2.4935557960211368,11.824965715408325
2,"[[35, 44], [42, 15], [50, 93], [22, 8], [29, 22], [18, 74], [31, 64], [36, 26], [41, 11], [52, 13]]",2.4439391088522937,11.824965953826904
2,"[[35, 44], [42, 15], [50, 93], [22, 8], [29, 22], [18, 74], [31, 64], [36, 26], [41, 31], [52, 13]]",2.5379214235489815,11.824966669082642
2,"[[35, 44], [42, 15], [50, 93], [22, 8], [29, 22], [18, 74], [31, 64], [36, 26], [41, 21], [42, 13]]",1.8308932649567766,11.8249671459198
2,"[[35, 44], [42, 15], [50, 93], [22, 8], [29, 22], [18, 74], [31, 64], [36, 26], [41, 21], [62, 13]]",2.567527290236756,11.824967622756958
2,"[[35, 44], [42, 15], [50, 93], [22, 8], [29, 22], [18, 74], [31, 64], [36, 26], [41, 21], [52, 3]]",2.4040751986010758,11.824967861175537
2,"[[35, 44], [42, 15], [50, 93], [22, 8], [29, 22], [18, 74], [31, 64], [36, 26], [41, 21], [52, 23]]",2.395304030949842,11.824968338012695
3,"[[25, 44], [42, 15], [50, 93], [22, 8], [29, 22], [18, 74], [31, 64], [36, 26], [41, 21], [62, 13]]",2.6439520721373695,11.878190994262695
3,"[[45, 44], [42, 15], [50, 93], [22, 8], [29, 22], [18, 74], [31, 64], [36, 26], [41, 21], [62, 13]]",2.5160819258868,11.87819242477417
