iteration,proposal,fitness,cycle_time
2,"[[52, 96], [53, 67], [52, 42], [51, 4], [31, 5], [32, 31], [33, 65], [32, 86], [18, 66], [17, 32]]",2.904702644085681,13.885556936264038
2,"[[52, 96], [53, 67], [52, 32], [41, 4], [31, 5], [32, 31], [33, 65], [32, 86], [18, 66], [17, 32]]",2.7928680862892765,13.885557413101196
2,"[[52, 96], [53, 67], [52, 32], [61, 4], [31, 5], [32, 31], [33, 65], [32, 86], [18, 66], [17, 32]]",2.7928680862892765,13.885557889938354
2,"[[52, 96], [53, 67], [52, 32], [51, -6], [31, 5], [32, 31], [33, 65], [32, 86], [18, 66], [17, 32]]",2.7928680862892765,13.885558366775513
2,"[[52, 96], [53, 67], [52, 32], [51, 14], [31, 5], [32, 31], [33, 65], [32, 86], [18, 66], [17, 32]]",2.7931418713679896,13.885558843612671
2,"[[52, 96], [53, 67], [52, 32], [51, 4], [21, 5], [32, 31], [33, 65], [32, 86], [18, 66], [17, 32]]",2.798206895324184,13.885559320449829
2,"[[52, 96], [53, 67], [52, 32], [51, 4], [41, 5], [32, 31], [33, 65], [32, 86], [18, 66], [17, 32]]",2.782874930916244,13.885559797286987
2,"[[52, 96], [53, 67], [52, 32], [51, 4], [31, -5], [32, 31], [33, 65], [32, 86], [18, 66], [17, 32]]",2.7876661697937255,13.88556170463562
2,"[[52, 96], [53, 67], [52, 32], [51, 4], [31, 15], [32, 31], [33, 65], [32, 86], [18, 66], [17, 32]]",2.797933110245471,13.885562419891357
2,"[[52, 96], [53, 67], [52, 32], [51, 4], [31, 5], [22, 31], [33, 65], [32, 86], [18, 66], [17, 32]]",2.7478440828120627,13.885562896728516
2,"[[52, 96], [53, 67], [52, 32], [51, 4], [31, 5], [42, 31], [33, 65], [32, 86], [18, 66], [17, 32]]",2.7463330563832447,13.885563611984253
2,"[[52, 96], [53, 67], [52, 32], [51, 4], [31, 5], [32, 21], [33, 65], [32, 86], [18, 66], [17, 32]]",2.7376115545847917,13.885564088821411
2,"[[52, 96], [53, 67], [52, 32], [51, 4], [31, 5], [32, 41], [33, 65], [32, 86], [18, 66], [17, 32]]",2.9713509250709906,13.88556456565857
2,"[[52, 96], [53, 67], [52, 32], [51, 4], [31, 5], [32, 31], [23, 65], [32, 86], [18, 66], [17, 32]]",2.7449457618512696,13.885565042495728
2,"[[52, 96], [53, 67], [52, 32], [51, 4], [31, 5], [32, 31], [43, 65], [32, 86], [18, 66], [17, 32]]",2.785486513833243,13.885565519332886
2,"[[52, 96], [53, 67], [52, 32], [51, 4], [31, 5], [32, 31], [33, 55], [32, 86], [18, 66], [17, 32]]",2.760197195871828,13.885565996170044
2,"[[52, 96], [53, 67], [52, 32], [51, 4], [31, 5], [32, 31], [33, 75], [32, 86], [18, 66], [17, 32]]",2.5798173392391988,13.885566473007202
2,"[[52, 96], [53, 67], [52, 32], [51, 4], [31, 5], [32, 31], [33, 65], [22, 86], [18, 66], [17, 32]]",2.722488514090859,13.885566711425781
2,"[[52, 96], [53, 67], [52, 32], [51, 4], [31, 5], [32, 31], [33, 65], [42, 86], [18, 66], [17, 32]]",2.794090574952101,13.885567665100098
2,"[[52, 96], [53, 67], [52, 32], [51, 4], [31, 5], [32, 31], [33, 65], [32, 76], [18, 66], [17, 32]]",2.6645328641558814,13.885567903518677
2,"[[52, 96], [53, 67], [52, 32], [51, 4], [31, 5], [32, 31], [33, 65], [32, 96], [18, 66], [17, 32]]",2.604604989379869,13.885568380355835
2,"[[52, 96], [53, 67], [52, 32], [51, 4], [31, 5], [32, 31], [33, 65], [32, 86], [8, 66], [17, 32]]",-1.3508232001005482,13.88556981086731
2,"[[52, 96], [53, 67], [52, 32], [51, 4], [31, 5], [32, 31], [33, 65], [32, 86], [28, 66], [17, 32]]",2.7032644648242146,13.885570764541626
2,"[[52, 96], [53, 67], [52, 32], [51, 4], [31, 5], [32, 31], [33, 65], [32, 86], [18, 56], [17, 32]]",2.770450459381472,13.885571241378784
2,"[[52, 96], [53, 67], [52, 32], [51, 4], [31, 5], [32, 31], [33, 65], [32, 86], [18, 76], [17, 32]]",2.7722878299592884,13.885571718215942
2,"[[52, 96], [53, 67], [52, 32], [51, 4], [31, 5], [32, 31], [33, 65], [32, 86], [18, 66], [7, 32]]",-1.2499160503558713,13.8855721950531
2,"[[52, 96], [53, 67], [52, 32], [51, 4], [31, 5], [32, 31], [33, 65], [32, 86], [18, 66], [27, 32]]",2.718540931912477,13.885572671890259
2,"[[52, 96], [53, 67], [52, 32], [51, 4], [31, 5], [32, 31], [33, 65], [32, 86], [18, 66], [17, 22]]",2.6515045792816534,13.885573148727417
